Comment,Is_Spam
You are loosing your grip please focus on your stand up or else you will loose it best regards,False
Aaj suraj kha se nikla h ?  Video upload hui 😂,False
Bhai watch konsa hai.,False
Aap ganja kam karo sirji.. quality girti jaa rahi hai content ki.. wahi ghissa pita jokes mard kya karega aurat kya karegi,False
"Crowdwork for youtube ❌
Bhik ✅",False
Stand up kaisa hua wo sunna mujhe ab,False
Backchodi without comedy 😢,False
❤,False
Ye shyd kisi ko batana mat ki clips he 23 dec me kota me dekha tha ye show abhi tak nahi dala.....,False
'Delhi se a jaunga' was epic😂,False
Ek show patna main bhi dal dijiye,False
Aahhh finally 😅😅😅,False
Itne dino ke baad woh bhi itni short video,False
Bas kar bassi😂😂,False
AURANGABAD MAHARASHTRA ME BHI AJAO BHAI,False
The Jat 🎉,False
"REVERSE MARKETTING 
Bassi bhai me sch me kisi ko nhi btaunga pakka 😋👍🏻tmne keh dia toh patthar ki lakeer",False
After a longggg timee but best 😂❤😂,False
😂,False
"Abb ye bhi boring hone lagg gaya. Bassi itne thaka content expect nai kia tha.

#mardHuYaar",False
Sahab bahot dino baat dikhe ho.... क्या काले पाणी की सजा भुगत के आये हो क्या....😂,False
"Bhaii Mumbai tak aarahe ho Pune se kya dushmani hai yrr 
Mere exam bh khatam hogaye hai please aajao Pune",False
Bhai ko finally pasword yaad aa gya 😮😮😅😅,False
Iske reel majedar honge 😂😂,False
Mast h bhai 😂😂,False
99+ misscalls from john abraham 😂,False
Noida me show kab hai? BMS par show nhi ho rha😢😮,False
"I Don't understand why everyone are laughing,  🙄🙄 im feeling cringe",False
Has na tha kya 🤡,False
Edited hai bhai edited. Ladki ka hairstyle alag alag dikh rha hai phle baad mai.,False
maja nhi aya bassi 😢,False
Hui hui hui...,False
Beer wali baat se agree krta hu nashe se pehle sir me gas ho jati h but upper se pine k bajaye me cyclone banate pita hu,False
Bhai quality lao yar,False
"""THE BEST"" as always💀",False
"Omg, what a coincidence! I’m doing my skincare right now",False
"Bassi bhai thodi lambi video dal diya karo.
Taras jate hai kaan apke awaz sunne ke liye 
😅😅
❤❤",False
Once again in Goa please,False
Bhai aakhri haramipanti😂,False
😂❤,False
Locals have to  be  paet of the plan😂😂,False
"Meerut aake marunga agar har mahina vedio nahi dala to 
Aur mein bohot bura Marta hu bhai tu sirf pani pani Chikenga samjha 😂😂😂",False
Maza bahut aaya FIR kr du kya ?,False
Areyy aaj to eid ka chand aagya😂😂 😅,False
abhi agli video agli movie ke baad aygi,False
Ye kon hai...?,False
Bhai plz regular video upload karna bohut depression meh huu wesehi  tumhra vdo dekkha maan halka hota haaa 😢,False
New video agai mere barso ki tapasya puri hogia 😭😭❤️,False
Ye to beech ka maal tha 2 log k jane k baad ka.. main maal kahan h guru,False
"This guy alone has promoted more cigarettes and alcohol than whole Hollywood, Bollywood and surrogate adverts combined. 😂",True
"Bhai iske 1.32m follower kaise hai mujhe milakar?? Mujhe to ek bhi jagah hasi nhi ayi yar,  upmanyu best hai yar❤❤",False
08:38 pe dikhegi wo.....,False
"Bhai, 10 minute k video mein itne laughs hai jitne logo ke comedy special mein nahi hote!!😂❤
Is insaan ko bus dharti pe upkaar karne bheja hai Thank you for taking the entire comedy scene to the next level!! 🚀😂👏❤🔥",False
Are app ho 😮?,False
Finally yaad aagaya aapko😅,False
3:58 who is this divaa💅,False
3:34 💀 mamla serious lg rha he 😂,False
Lagta hai Video bhi Noida ki traffic me rook gya tha 😂,False
"People here are so cheap. Tumlog bas Zinda laas ho. Instead of searching peace in real life, they are searching on internet",False
kyun nhi ho rhi comedy,False
Bhai agya,False
5:04 sahi bola.. muh dho ke toh neend kholte hai 😂,False
😊,False
Thank for 47 subscribers,True
https://youtube.com/shorts/Q2a5BOnzjC4?feature=shared,False
Undertaker,False
"maja aa gaya bhai..., haters ko acha reply diya he 😂😂",False
Arry dekho ye zinda h 😂,False
OMG the confidence of Jassi bhaiya to release such a unfunny video! I dont blame the people who couldnt take it anymore,False
https://youtu.be/VZR_ZxSP8zw?si=3NKP332scj55kGVL,False
Aur jadiye aa gyi bhaiyo ki yaad esa lga bhai password bhool gya😂😂😂,False
Bhai sikar kb aaoge,False
Yaad aya youtube channel bhi hai.....😂😂😂,False
Are bhai aap stand up comedy 😅kab se😂😂,False
Why no show in Kanpur,False
Tu aa gaya dalle abb youtube  pe 😂,False
Phele jaisi bhadiya comedy nahi ab,False
Arrey yeh bhi zinda hi 😂💀,False
https://youtube.com/shorts/stRW1A6kcwo?si=-Uu5sgxjze6fuCec,False
Itne din kaha the prabhu 😅😅,False
https://youtube.com/shorts/VBPXrQ59MkM?si=9U-mIXtszYMtxZZh,False
Delhi University north campus aajao Bhai ek bar,False
Bassi bhai shoes milega ek din  ke liya,False
Yeh Gareebi kya kya sikhati hai... You nailed it,False
"Aree aap!!  Lagta hai bhul gaye the aapka youtube channel hai!! 😂 
Btw thanks for uploading",False
11:13 tu aise pi 😂😂,False
Bkwas show ek dm bkwas,False
Piche jo ladki has rhi thi sun ke kaan fat gye pencho 🙂,False
"are kha rehte ho bhai, ajaya kro yr..",False
Edited h 😂😂😂,False
❤❤❤❤,False
Bareilly bhi aao yaar kabhi,False
Super excited for the Jaipur show — first ever comedy gig!,False
"jute dekhe bassi ke, 100000 waale edition hai nike ka",False
Kafi low content... Vo bat nahi rhi.. Ab.. Same majak. Jo ho chuke h.,False
😅😅,False
Bhai mai aapke mumbai wale show pe aa rha hu mera nam ketan hai 10th ko 3 baje wale show pe aa rha hu,False
"Crowd work mein sirf Bassi aur Gujral ka narration aur style sunne aur dekhne mein mazaa aata hai... 
You both are seriously awesome !!",False
Video ka intezaar karte karte budhapa aa gaya,False
bhai video halki blur lag rahi hai ya phir air quality kharab hein 🤣,False
